Pais,Ano,Valor,Var_EU
Eslováquia,2021,134.77,136
Eslováquia,2022,119.78,138
Eslováquia,2023,109.63,141
Turquia,1998,153.89,71
Turquia,1998,153.89,71
Turquia,1999,154.4,75
Turquia,1999,154.4,75
Turquia,2000,153.6,79
Turquia,2000,153.6,79
Turquia,2001,144.5,76
Turquia,2001,144.5,76
Turquia,2002,150.86,82
Turquia,2002,150.86,82
Turquia,2003,152.44,83
Turquia,2003,152.44,83
Turquia,2004,137.85,77
Turquia,2004,137.85,77
Turquia,2005,129.36,75
Turquia,2005,129.36,75
Turquia,2006,126.24,77
Turquia,2006,126.24,77
Turquia,2007,124.21,81
Turquia,2007,124.21,81
Turquia,2008,113.26,77
Turquia,2008,113.26,77
Turquia,2009,119.05,82
Turquia,2009,119.05,82
Turquia,2010,110.14,76
Turquia,2010,110.14,76
Turquia,2011,104.29,76
Turquia,2011,104.29,76
Turquia,2012,103.12,77
Turquia,2012,103.12,77
Turquia,2013,93.49,71
Turquia,2013,93.49,71
Turquia,2014,92.5,75
Turquia,2014,92.5,75
Turquia,2015,91.63,76
Turquia,2015,91.63,76
Turquia,2016,95.6,80
Turquia,2016,95.6,80
Turquia,2017,97.29,83
Turquia,2017,97.29,83
Turquia,2018,95.41,85
Turquia,2018,95.41,85
Turquia,2019,98.82,93
Turquia,2019,98.82,93
Turquia,2020,97.27,96
Turquia,2020,97.27,96
Turquia,2021,96.71,98
Turquia,2021,96.71,98
Turquia,2022,83.78,97
Turquia,2022,83.78,97
Reino Unido,1995,226.16,97
Reino Unido,1996,218.59,95
Reino Unido,1997,204.72,91
Reino Unido,1998,202.6,94
Reino Unido,1999,195.31,95
Reino Unido,2000,182.16,93
Reino Unido,2001,174.13,91
Reino Unido,2002,164.93,89
Reino Unido,2003,160,87
Reino Unido,2004,150.36,84
Reino Unido,2005,146.93,85
Reino Unido,2006,139.22,85
Reino Unido,2007,131.37,86
Reino Unido,2008,127.3,86
Reino Unido,2009,125.91,87
Reino Unido,2010,124.67,86
Reino Unido,2011,114.62,84
Reino Unido,2012,113.53,85
Reino Unido,2013,108.98,83
Reino Unido,2014,99.6,80
Reino Unido,2015,97.16,80
Reino Unido,2016,95.02,80
Reino Unido,2017,90.95,78
Reino Unido,2018,88.72,79
Reino Unido,2019,84.94,80
