Commodity,Year,Attribute,Value
Red meat and chicken (retail weight): Per capita availability,1910,"U.S. population, July 1-Millions",92.407
Red meat and chicken (retail weight): Per capita availability,1911,"U.S. population, July 1-Millions",93.863
Red meat and chicken (retail weight): Per capita availability,1912,"U.S. population, July 1-Millions",95.335
Red meat and chicken (retail weight): Per capita availability,1913,"U.S. population, July 1-Millions",97.225
Red meat and chicken (retail weight): Per capita availability,1914,"U.S. population, July 1-Millions",99.111
Red meat and chicken (retail weight): Per capita availability,1915,"U.S. population, July 1-Millions",100.546
Red meat and chicken (retail weight): Per capita availability,1916,"U.S. population, July 1-Millions",101.961
Red meat and chicken (retail weight): Per capita availability,1917,"U.S. population, July 1-Millions",103.414
Red meat and chicken (retail weight): Per capita availability,1918,"U.S. population, July 1-Millions",104.55
Red meat and chicken (retail weight): Per capita availability,1919,"U.S. population, July 1-Millions",105.063
Red meat and chicken (retail weight): Per capita availability,1920,"U.S. population, July 1-Millions",106.461
Red meat and chicken (retail weight): Per capita availability,1921,"U.S. population, July 1-Millions",108.538
Red meat and chicken (retail weight): Per capita availability,1922,"U.S. population, July 1-Millions",110.049
Red meat and chicken (retail weight): Per capita availability,1923,"U.S. population, July 1-Millions",111.947
Red meat and chicken (retail weight): Per capita availability,1924,"U.S. population, July 1-Millions",114.109
Red meat and chicken (retail weight): Per capita availability,1925,"U.S. population, July 1-Millions",115.829
Red meat and chicken (retail weight): Per capita availability,1926,"U.S. population, July 1-Millions",117.397
Red meat and chicken (retail weight): Per capita availability,1927,"U.S. population, July 1-Millions",119.035
Red meat and chicken (retail weight): Per capita availability,1928,"U.S. population, July 1-Millions",120.509
Red meat and chicken (retail weight): Per capita availability,1929,"U.S. population, July 1-Millions",121.767
Red meat and chicken (retail weight): Per capita availability,1930,"U.S. population, July 1-Millions",123.188
Red meat and chicken (retail weight): Per capita availability,1931,"U.S. population, July 1-Millions",124.149
Red meat and chicken (retail weight): Per capita availability,1932,"U.S. population, July 1-Millions",124.949
Red meat and chicken (retail weight): Per capita availability,1933,"U.S. population, July 1-Millions",125.69
Red meat and chicken (retail weight): Per capita availability,1934,"U.S. population, July 1-Millions",126.485
Red meat and chicken (retail weight): Per capita availability,1935,"U.S. population, July 1-Millions",127.362
Red meat and chicken (retail weight): Per capita availability,1936,"U.S. population, July 1-Millions",128.181
Red meat and chicken (retail weight): Per capita availability,1937,"U.S. population, July 1-Millions",128.961
Red meat and chicken (retail weight): Per capita availability,1938,"U.S. population, July 1-Millions",129.969
Red meat and chicken (retail weight): Per capita availability,1939,"U.S. population, July 1-Millions",131.028
Red meat and chicken (retail weight): Per capita availability,1940,"U.S. population, July 1-Millions",132.122
Red meat and chicken (retail weight): Per capita availability,1941,"U.S. population, July 1-Millions",133.402
Red meat and chicken (retail weight): Per capita availability,1942,"U.S. population, July 1-Millions",134.86
Red meat and chicken (retail weight): Per capita availability,1943,"U.S. population, July 1-Millions",136.739
Red meat and chicken (retail weight): Per capita availability,1944,"U.S. population, July 1-Millions",138.397
Red meat and chicken (retail weight): Per capita availability,1945,"U.S. population, July 1-Millions",139.928
Red meat and chicken (retail weight): Per capita availability,1946,"U.S. population, July 1-Millions",141.389
Red meat and chicken (retail weight): Per capita availability,1947,"U.S. population, July 1-Millions",144.126
Red meat and chicken (retail weight): Per capita availability,1948,"U.S. population, July 1-Millions",146.631
Red meat and chicken (retail weight): Per capita availability,1949,"U.S. population, July 1-Millions",149.188
Red meat and chicken (retail weight): Per capita availability,1950,"U.S. population, July 1-Millions",151.684
Red meat and chicken (retail weight): Per capita availability,1951,"U.S. population, July 1-Millions",154.287
Red meat and chicken (retail weight): Per capita availability,1952,"U.S. population, July 1-Millions",156.954
Red meat and chicken (retail weight): Per capita availability,1953,"U.S. population, July 1-Millions",159.565
Red meat and chicken (retail weight): Per capita availability,1954,"U.S. population, July 1-Millions",162.391
Red meat and chicken (retail weight): Per capita availability,1955,"U.S. population, July 1-Millions",165.275
Red meat and chicken (retail weight): Per capita availability,1956,"U.S. population, July 1-Millions",168.221
Red meat and chicken (retail weight): Per capita availability,1957,"U.S. population, July 1-Millions",171.274
Red meat and chicken (retail weight): Per capita availability,1958,"U.S. population, July 1-Millions",174.141
Red meat and chicken (retail weight): Per capita availability,1959,"U.S. population, July 1-Millions",177.073
Red meat and chicken (retail weight): Per capita availability,1960,"U.S. population, July 1-Millions",180.671
Red meat and chicken (retail weight): Per capita availability,1961,"U.S. population, July 1-Millions",183.691
Red meat and chicken (retail weight): Per capita availability,1962,"U.S. population, July 1-Millions",186.538
Red meat and chicken (retail weight): Per capita availability,1963,"U.S. population, July 1-Millions",189.242
Red meat and chicken (retail weight): Per capita availability,1964,"U.S. population, July 1-Millions",191.889
Red meat and chicken (retail weight): Per capita availability,1965,"U.S. population, July 1-Millions",194.303
Red meat and chicken (retail weight): Per capita availability,1966,"U.S. population, July 1-Millions",196.56
Red meat and chicken (retail weight): Per capita availability,1967,"U.S. population, July 1-Millions",198.712
Red meat and chicken (retail weight): Per capita availability,1968,"U.S. population, July 1-Millions",200.706
Red meat and chicken (retail weight): Per capita availability,1969,"U.S. population, July 1-Millions",202.677
Red meat and chicken (retail weight): Per capita availability,1970,"U.S. population, July 1-Millions",205.052
Red meat and chicken (retail weight): Per capita availability,1971,"U.S. population, July 1-Millions",207.661
Red meat and chicken (retail weight): Per capita availability,1972,"U.S. population, July 1-Millions",209.896
Red meat and chicken (retail weight): Per capita availability,1973,"U.S. population, July 1-Millions",211.909
Red meat and chicken (retail weight): Per capita availability,1974,"U.S. population, July 1-Millions",213.854
Red meat and chicken (retail weight): Per capita availability,1975,"U.S. population, July 1-Millions",215.973
Red meat and chicken (retail weight): Per capita availability,1976,"U.S. population, July 1-Millions",218.035
Red meat and chicken (retail weight): Per capita availability,1977,"U.S. population, July 1-Millions",220.239
Red meat and chicken (retail weight): Per capita availability,1978,"U.S. population, July 1-Millions",222.585
Red meat and chicken (retail weight): Per capita availability,1979,"U.S. population, July 1-Millions",225.055
Red meat and chicken (retail weight): Per capita availability,1980,"U.S. population, July 1-Millions",227.726
Red meat and chicken (retail weight): Per capita availability,1981,"U.S. population, July 1-Millions",229.966
Red meat and chicken (retail weight): Per capita availability,1982,"U.S. population, July 1-Millions",232.188
Red meat and chicken (retail weight): Per capita availability,1983,"U.S. population, July 1-Millions",234.307
Red meat and chicken (retail weight): Per capita availability,1984,"U.S. population, July 1-Millions",236.348
Red meat and chicken (retail weight): Per capita availability,1985,"U.S. population, July 1-Millions",238.466
Red meat and chicken (retail weight): Per capita availability,1986,"U.S. population, July 1-Millions",240.651
Red meat and chicken (retail weight): Per capita availability,1987,"U.S. population, July 1-Millions",242.804
Red meat and chicken (retail weight): Per capita availability,1988,"U.S. population, July 1-Millions",245.021
Red meat and chicken (retail weight): Per capita availability,1989,"U.S. population, July 1-Millions",247.342
Red meat and chicken (retail weight): Per capita availability,1990,"U.S. population, July 1-Millions",250.132
Red meat and chicken (retail weight): Per capita availability,1991,"U.S. population, July 1-Millions",253.493
Red meat and chicken (retail weight): Per capita availability,1992,"U.S. population, July 1-Millions",256.894
Red meat and chicken (retail weight): Per capita availability,1993,"U.S. population, July 1-Millions",260.255
Red meat and chicken (retail weight): Per capita availability,1994,"U.S. population, July 1-Millions",263.436
Red meat and chicken (retail weight): Per capita availability,1995,"U.S. population, July 1-Millions",266.557
Red meat and chicken (retail weight): Per capita availability,1996,"U.S. population, July 1-Millions",269.667
Red meat and chicken (retail weight): Per capita availability,1997,"U.S. population, July 1-Millions",272.912
Red meat and chicken (retail weight): Per capita availability,1998,"U.S. population, July 1-Millions",276.115
Red meat and chicken (retail weight): Per capita availability,1999,"U.S. population, July 1-Millions",279.295
Red meat and chicken (retail weight): Per capita availability,2000,"U.S. population, July 1-Millions",282.385
Red meat and chicken (retail weight): Per capita availability,2001,"U.S. population, July 1-Millions",285.309019
Red meat and chicken (retail weight): Per capita availability,2002,"U.S. population, July 1-Millions",288.104818
Red meat and chicken (retail weight): Per capita availability,2003,"U.S. population, July 1-Millions",290.819634
Red meat and chicken (retail weight): Per capita availability,2004,"U.S. population, July 1-Millions",293.463185
Red meat and chicken (retail weight): Per capita availability,2005,"U.S. population, July 1-Millions",296.186216
Red meat and chicken (retail weight): Per capita availability,2006,"U.S. population, July 1-Millions",298.995825
Red meat and chicken (retail weight): Per capita availability,2007,"U.S. population, July 1-Millions",302.003917
Red meat and chicken (retail weight): Per capita availability,2008,"U.S. population, July 1-Millions",304.797761
Red meat and chicken (retail weight): Per capita availability,2009,"U.S. population, July 1-Millions",307.439406
Red meat and chicken (retail weight): Per capita availability,2010,"U.S. population, July 1-Millions",309.741279
Red meat and chicken (retail weight): Per capita availability,2011,"U.S. population, July 1-Millions",311.973914
Red meat and chicken (retail weight): Per capita availability,2012,"U.S. population, July 1-Millions",314.167558
Red meat and chicken (retail weight): Per capita availability,2013,"U.S. population, July 1-Millions",316.294766
Red meat and chicken (retail weight): Per capita availability,2014,"U.S. population, July 1-Millions",318.576955
Red meat and chicken (retail weight): Per capita availability,2015,"U.S. population, July 1-Millions",320.870703
Red meat and chicken (retail weight): Per capita availability,2016,"U.S. population, July 1-Millions",323.161011
Red meat and chicken (retail weight): Per capita availability,2017,"U.S. population, July 1-Millions",325.20603
Red meat and chicken (retail weight): Per capita availability,2018,"U.S. population, July 1-Millions",326.923976
Red meat and chicken (retail weight): Per capita availability,2019,"U.S. population, July 1-Millions",328.475998
Red meat and chicken (retail weight): Per capita availability,2020,"U.S. population, July 1-Millions",330.11398
Red meat and chicken (retail weight): Per capita availability,2021,"U.S. population, July 1-Millions",332.140523
Red meat and chicken (retail weight): Per capita availability,1909,Red meat-Beef-Pounds,58.60614433
Red meat and chicken (retail weight): Per capita availability,1910,Red meat-Beef-Pounds,55.63777636
Red meat and chicken (retail weight): Per capita availability,1911,Red meat-Beef-Pounds,54.08457006
Red meat and chicken (retail weight): Per capita availability,1912,Red meat-Beef-Pounds,50.98725547
Red meat and chicken (retail weight): Per capita availability,1913,Red meat-Beef-Pounds,50.02859347
Red meat and chicken (retail weight): Per capita availability,1914,Red meat-Beef-Pounds,48.9729697
Red meat and chicken (retail weight): Per capita availability,1915,Red meat-Beef-Pounds,44.53404412
Red meat and chicken (retail weight): Per capita availability,1916,Red meat-Beef-Pounds,46.51160738
Red meat and chicken (retail weight): Per capita availability,1917,Red meat-Beef-Pounds,51.08331561
Red meat and chicken (retail weight): Per capita availability,1918,Red meat-Beef-Pounds,54.15523673
Red meat and chicken (retail weight): Per capita availability,1919,Red meat-Beef-Pounds,48.58970332
Red meat and chicken (retail weight): Per capita availability,1920,Red meat-Beef-Pounds,46.69757
Red meat and chicken (retail weight): Per capita availability,1921,Red meat-Beef-Pounds,43.84602628
Red meat and chicken (retail weight): Per capita availability,1922,Red meat-Beef-Pounds,46.68256867
Red meat and chicken (retail weight): Per capita availability,1923,Red meat-Beef-Pounds,47.07665234
Red meat and chicken (retail weight): Per capita availability,1924,Red meat-Beef-Pounds,46.98086917
Red meat and chicken (retail weight): Per capita availability,1925,Red meat-Beef-Pounds,46.97890856
Red meat and chicken (retail weight): Per capita availability,1926,Red meat-Beef-Pounds,47.60309037
Red meat and chicken (retail weight): Per capita availability,1927,Red meat-Beef-Pounds,43.03238543
Red meat and chicken (retail weight): Per capita availability,1928,Red meat-Beef-Pounds,38.49405439
Red meat and chicken (retail weight): Per capita availability,1929,Red meat-Beef-Pounds,39.23821725
Red meat and chicken (retail weight): Per capita availability,1930,Red meat-Beef-Pounds,38.61244602
Red meat and chicken (retail weight): Per capita availability,1931,Red meat-Beef-Pounds,38.33901199
Red meat and chicken (retail weight): Per capita availability,1932,Red meat-Beef-Pounds,36.86063914
Red meat and chicken (retail weight): Per capita availability,1933,Red meat-Beef-Pounds,40.65963879
Red meat and chicken (retail weight): Per capita availability,1934,Red meat-Beef-Pounds,50.37862197
Red meat and chicken (retail weight): Per capita availability,1935,Red meat-Beef-Pounds,41.99290212
Red meat and chicken (retail weight): Per capita availability,1936,Red meat-Beef-Pounds,47.715184
Red meat and chicken (retail weight): Per capita availability,1937,Red meat-Beef-Pounds,43.53665062
Red meat and chicken (retail weight): Per capita availability,1938,Red meat-Beef-Pounds,42.90115335
Red meat and chicken (retail weight): Per capita availability,1939,Red meat-Beef-Pounds,43.16336966
Red meat and chicken (retail weight): Per capita availability,1940,Red meat-Beef-Pounds,43.39194078
Red meat and chicken (retail weight): Per capita availability,1941,Red meat-Beef-Pounds,48.89754277
Red meat and chicken (retail weight): Per capita availability,1942,Red meat-Beef-Pounds,52.68033516
Red meat and chicken (retail weight): Per capita availability,1943,Red meat-Beef-Pounds,49.27570042
Red meat and chicken (retail weight): Per capita availability,1944,Red meat-Beef-Pounds,53.38323808
Red meat and chicken (retail weight): Per capita availability,1945,Red meat-Beef-Pounds,54.99535475
Red meat and chicken (retail weight): Per capita availability,1946,Red meat-Beef-Pounds,50.73379117
Red meat and chicken (retail weight): Per capita availability,1947,Red meat-Beef-Pounds,56.46850672
Red meat and chicken (retail weight): Per capita availability,1948,Red meat-Beef-Pounds,50.65490926
Red meat and chicken (retail weight): Per capita availability,1949,Red meat-Beef-Pounds,51.29588171
Red meat and chicken (retail weight): Per capita availability,1950,Red meat-Beef-Pounds,51.17052557
Red meat and chicken (retail weight): Per capita availability,1951,Red meat-Beef-Pounds,47.2094214
Red meat and chicken (retail weight): Per capita availability,1952,Red meat-Beef-Pounds,50.36341858
Red meat and chicken (retail weight): Per capita availability,1953,Red meat-Beef-Pounds,62.54548303
Red meat and chicken (retail weight): Per capita availability,1954,Red meat-Beef-Pounds,63.77511685
Red meat and chicken (retail weight): Per capita availability,1955,Red meat-Beef-Pounds,64.73138708
Red meat and chicken (retail weight): Per capita availability,1956,Red meat-Beef-Pounds,66.91718038
Red meat and chicken (retail weight): Per capita availability,1957,Red meat-Beef-Pounds,65.59255929
Red meat and chicken (retail weight): Per capita availability,1958,Red meat-Beef-Pounds,62.11251227
Red meat and chicken (retail weight): Per capita availability,1959,Red meat-Beef-Pounds,62.44023651
Red meat and chicken (retail weight): Per capita availability,1960,Red meat-Beef-Pounds,64.73064299
Red meat and chicken (retail weight): Per capita availability,1961,Red meat-Beef-Pounds,66.38866357
Red meat and chicken (retail weight): Per capita availability,1962,Red meat-Beef-Pounds,66.68089076
Red meat and chicken (retail weight): Per capita availability,1963,Red meat-Beef-Pounds,70.22965304
Red meat and chicken (retail weight): Per capita availability,1964,Red meat-Beef-Pounds,74.79865964
Red meat and chicken (retail weight): Per capita availability,1965,Red meat-Beef-Pounds,74.68819318
Red meat and chicken (retail weight): Per capita availability,1966,Red meat-Beef-Pounds,78.10776048
Red meat and chicken (retail weight): Per capita availability,1967,Red meat-Beef-Pounds,79.84547194
Red meat and chicken (retail weight): Per capita availability,1968,Red meat-Beef-Pounds,81.98814046
Red meat and chicken (retail weight): Per capita availability,1969,Red meat-Beef-Pounds,82.52137875
Red meat and chicken (retail weight): Per capita availability,1970,Red meat-Beef-Pounds,84.62938913
Red meat and chicken (retail weight): Per capita availability,1971,Red meat-Beef-Pounds,83.93922297
Red meat and chicken (retail weight): Per capita availability,1972,Red meat-Beef-Pounds,85.29222859
Red meat and chicken (retail weight): Per capita availability,1973,Red meat-Beef-Pounds,80.52128526
Red meat and chicken (retail weight): Per capita availability,1974,Red meat-Beef-Pounds,85.60682585
Red meat and chicken (retail weight): Per capita availability,1975,Red meat-Beef-Pounds,88.15890432
Red meat and chicken (retail weight): Per capita availability,1976,Red meat-Beef-Pounds,94.12567447
Red meat and chicken (retail weight): Per capita availability,1977,Red meat-Beef-Pounds,91.54518936
Red meat and chicken (retail weight): Per capita availability,1978,Red meat-Beef-Pounds,87.12660469
Red meat and chicken (retail weight): Per capita availability,1979,Red meat-Beef-Pounds,77.94721047
Red meat and chicken (retail weight): Per capita availability,1980,Red meat-Beef-Pounds,76.40665108
Red meat and chicken (retail weight): Per capita availability,1981,Red meat-Beef-Pounds,77.15514484
Red meat and chicken (retail weight): Per capita availability,1982,Red meat-Beef-Pounds,76.8662209
Red meat and chicken (retail weight): Per capita availability,1983,Red meat-Beef-Pounds,78.52719378
Red meat and chicken (retail weight): Per capita availability,1984,Red meat-Beef-Pounds,78.27892799
Red meat and chicken (retail weight): Per capita availability,1985,Red meat-Beef-Pounds,79.04538322
Red meat and chicken (retail weight): Per capita availability,1986,Red meat-Beef-Pounds,78.67385318
Red meat and chicken (retail weight): Per capita availability,1987,Red meat-Beef-Pounds,73.70068427
Red meat and chicken (retail weight): Per capita availability,1988,Red meat-Beef-Pounds,72.47299973
Red meat and chicken (retail weight): Per capita availability,1989,Red meat-Beef-Pounds,68.85506882
Red meat and chicken (retail weight): Per capita availability,1990,Red meat-Beef-Pounds,67.53542612
Red meat and chicken (retail weight): Per capita availability,1991,Red meat-Beef-Pounds,66.40056759
Red meat and chicken (retail weight): Per capita availability,1992,Red meat-Beef-Pounds,65.90257892
Red meat and chicken (retail weight): Per capita availability,1993,Red meat-Beef-Pounds,64.40361572
Red meat and chicken (retail weight): Per capita availability,1994,Red meat-Beef-Pounds,66.14048377
Red meat and chicken (retail weight): Per capita availability,1995,Red meat-Beef-Pounds,66.40164343
Red meat and chicken (retail weight): Per capita availability,1996,Red meat-Beef-Pounds,66.98353262
Red meat and chicken (retail weight): Per capita availability,1997,Red meat-Beef-Pounds,65.53140289
Red meat and chicken (retail weight): Per capita availability,1998,Red meat-Beef-Pounds,66.50782385
Red meat and chicken (retail weight): Per capita availability,1999,Red meat-Beef-Pounds,67.31295741
Red meat and chicken (retail weight): Per capita availability,2000,Red meat-Beef-Pounds,67.54008545
Red meat and chicken (retail weight): Per capita availability,2001,Red meat-Beef-Pounds,66.04315488
Red meat and chicken (retail weight): Per capita availability,2002,Red meat-Beef-Pounds,67.50086977
Red meat and chicken (retail weight): Per capita availability,2003,Red meat-Beef-Pounds,64.81461771
Red meat and chicken (retail weight): Per capita availability,2004,Red meat-Beef-Pounds,65.93686564
Red meat and chicken (retail weight): Per capita availability,2005,Red meat-Beef-Pounds,65.36847145
Red meat and chicken (retail weight): Per capita availability,2006,Red meat-Beef-Pounds,65.6809519
Red meat and chicken (retail weight): Per capita availability,2007,Red meat-Beef-Pounds,64.9980788
Red meat and chicken (retail weight): Per capita availability,2008,Red meat-Beef-Pounds,62.13315382
Red meat and chicken (retail weight): Per capita availability,2009,Red meat-Beef-Pounds,60.7718892
Red meat and chicken (retail weight): Per capita availability,2010,Red meat-Beef-Pounds,59.30071793
Red meat and chicken (retail weight): Per capita availability,2011,Red meat-Beef-Pounds,56.94068867
Red meat and chicken (retail weight): Per capita availability,2012,Red meat-Beef-Pounds,57.06666452
Red meat and chicken (retail weight): Per capita availability,2013,Red meat-Beef-Pounds,56.07345905
Red meat and chicken (retail weight): Per capita availability,2014,Red meat-Beef-Pounds,53.94567265
Red meat and chicken (retail weight): Per capita availability,2015,Red meat-Beef-Pounds,53.80901549
Red meat and chicken (retail weight): Per capita availability,2016,Red meat-Beef-Pounds,55.39292989
Red meat and chicken (retail weight): Per capita availability,2017,Red meat-Beef-Pounds,56.83206944
Red meat and chicken (retail weight): Per capita availability,2018,Red meat-Beef-Pounds,57.10641984
Red meat and chicken (retail weight): Per capita availability,2019,Red meat-Beef-Pounds,57.92427987
Red meat and chicken (retail weight): Per capita availability,2020,Red meat-Beef-Pounds,58.28365121
Red meat and chicken (retail weight): Per capita availability,2021,Red meat-Beef-Pounds,58.78078768
Red meat and chicken (retail weight): Per capita availability,1909,Red meat-Veal-Pounds,6.63719748
Red meat and chicken (retail weight): Per capita availability,1910,Red meat-Veal-Pounds,6.568441785
Red meat and chicken (retail weight): Per capita availability,1911,Red meat-Veal-Pounds,6.456857335
Red meat and chicken (retail weight): Per capita availability,1912,Red meat-Veal-Pounds,6.318980437
Red meat and chicken (retail weight): Per capita availability,1913,Red meat-Veal-Pounds,5.700077141
Red meat and chicken (retail weight): Per capita availability,1914,Red meat-Veal-Pounds,5.251889296
Red meat and chicken (retail weight): Per capita availability,1915,Red meat-Veal-Pounds,5.348895033
Red meat and chicken (retail weight): Per capita availability,1916,Red meat-Veal-Pounds,5.854787615
Red meat and chicken (retail weight): Per capita availability,1917,Red meat-Veal-Pounds,6.555688785
Red meat and chicken (retail weight): Per capita availability,1918,Red meat-Veal-Pounds,6.623720708
Red meat and chicken (retail weight): Per capita availability,1919,Red meat-Veal-Pounds,7.137051103
Red meat and chicken (retail weight): Per capita availability,1920,Red meat-Veal-Pounds,7.282666892
Red meat and chicken (retail weight): Per capita availability,1921,Red meat-Veal-Pounds,6.908548158
Red meat and chicken (retail weight): Per capita availability,1922,Red meat-Veal-Pounds,7.094839571
Red meat and chicken (retail weight): Per capita availability,1923,Red meat-Veal-Pounds,7.470410105
Red meat and chicken (retail weight): Per capita availability,1924,Red meat-Veal-Pounds,7.791409968
Red meat and chicken (retail weight): Per capita availability,1925,Red meat-Veal-Pounds,7.801414154
Red meat and chicken (retail weight): Per capita availability,1926,Red meat-Veal-Pounds,7.433665256
Red meat and chicken (retail weight): Per capita availability,1927,Red meat-Veal-Pounds,6.689209056
Red meat and chicken (retail weight): Per capita availability,1928,Red meat-Veal-Pounds,5.897567817
Red meat and chicken (retail weight): Per capita availability,1929,Red meat-Veal-Pounds,5.724539489
Red meat and chicken (retail weight): Per capita availability,1930,Red meat-Veal-Pounds,5.865344027
Red meat and chicken (retail weight): Per capita availability,1931,Red meat-Veal-Pounds,6.039839225
Red meat and chicken (retail weight): Per capita availability,1932,Red meat-Veal-Pounds,5.986602534
Red meat and chicken (retail weight): Per capita availability,1933,Red meat-Veal-Pounds,6.450871191
Red meat and chicken (retail weight): Per capita availability,1934,Red meat-Veal-Pounds,8.503933273
Red meat and chicken (retail weight): Per capita availability,1935,Red meat-Veal-Pounds,7.766602283
Red meat and chicken (retail weight): Per capita availability,1936,Red meat-Veal-Pounds,7.631786302
Red meat and chicken (retail weight): Per capita availability,1937,Red meat-Veal-Pounds,7.81848776
Red meat and chicken (retail weight): Per capita availability,1938,Red meat-Veal-Pounds,6.959659611
Red meat and chicken (retail weight): Per capita availability,1939,Red meat-Veal-Pounds,6.882574717
Red meat and chicken (retail weight): Per capita availability,1940,Red meat-Veal-Pounds,6.756709708
Red meat and chicken (retail weight): Per capita availability,1941,Red meat-Veal-Pounds,7.032953029
Red meat and chicken (retail weight): Per capita availability,1942,Red meat-Veal-Pounds,7.753151416
Red meat and chicken (retail weight): Per capita availability,1943,Red meat-Veal-Pounds,7.586716299
Red meat and chicken (retail weight): Per capita availability,1944,Red meat-Veal-Pounds,11.2108644
Red meat and chicken (retail weight): Per capita availability,1945,Red meat-Veal-Pounds,10.70450517
Red meat and chicken (retail weight): Per capita availability,1946,Red meat-Veal-Pounds,9.222994717
Red meat and chicken (retail weight): Per capita availability,1947,Red meat-Veal-Pounds,9.969679308
Red meat and chicken (retail weight): Per capita availability,1948,Red meat-Veal-Pounds,8.837421828
Red meat and chicken (retail weight): Per capita availability,1949,Red meat-Veal-Pounds,8.19797839
Red meat and chicken (retail weight): Per capita availability,1950,Red meat-Veal-Pounds,7.439149811
Red meat and chicken (retail weight): Per capita availability,1951,Red meat-Veal-Pounds,6.287373531
Red meat and chicken (retail weight): Per capita availability,1952,Red meat-Veal-Pounds,6.731335296
Red meat and chicken (retail weight): Per capita availability,1953,Red meat-Veal-Pounds,8.822548805
Red meat and chicken (retail weight): Per capita availability,1954,Red meat-Veal-Pounds,9.142698795
Red meat and chicken (retail weight): Per capita availability,1955,Red meat-Veal-Pounds,8.530255635
Red meat and chicken (retail weight): Per capita availability,1956,Red meat-Veal-Pounds,8.548147972
Red meat and chicken (retail weight): Per capita availability,1957,Red meat-Veal-Pounds,7.838095683
Red meat and chicken (retail weight): Per capita availability,1958,Red meat-Veal-Pounds,5.965166158
Red meat and chicken (retail weight): Per capita availability,1959,Red meat-Veal-Pounds,5.004354136
Red meat and chicken (retail weight): Per capita availability,1960,Red meat-Veal-Pounds,5.284589115
Red meat and chicken (retail weight): Per capita availability,1961,Red meat-Veal-Pounds,4.886499611
Red meat and chicken (retail weight): Per capita availability,1962,Red meat-Veal-Pounds,4.663092775
Red meat and chicken (retail weight): Per capita availability,1963,Red meat-Veal-Pounds,4.175394468
Red meat and chicken (retail weight): Per capita availability,1964,Red meat-Veal-Pounds,4.433552731
Red meat and chicken (retail weight): Per capita availability,1965,Red meat-Veal-Pounds,4.425459205
Red meat and chicken (retail weight): Per capita availability,1966,Red meat-Veal-Pounds,3.914271724
Red meat and chicken (retail weight): Per capita availability,1967,Red meat-Veal-Pounds,3.341644692
Red meat and chicken (retail weight): Per capita availability,1968,Red meat-Veal-Pounds,3.106117007
Red meat and chicken (retail weight): Per capita availability,1969,Red meat-Veal-Pounds,2.827918363
Red meat and chicken (retail weight): Per capita availability,1970,Red meat-Veal-Pounds,2.479936422
Red meat and chicken (retail weight): Per capita availability,1971,Red meat-Veal-Pounds,2.266248893
Red meat and chicken (retail weight): Per capita availability,1972,Red meat-Veal-Pounds,1.931184773
Red meat and chicken (retail weight): Per capita availability,1973,Red meat-Veal-Pounds,1.510287978
Red meat and chicken (retail weight): Per capita availability,1974,Red meat-Veal-Pounds,1.986796931
Red meat and chicken (retail weight): Per capita availability,1975,Red meat-Veal-Pounds,3.450211002
Red meat and chicken (retail weight): Per capita availability,1976,Red meat-Veal-Pounds,3.283801821
Red meat and chicken (retail weight): Per capita availability,1977,Red meat-Veal-Pounds,3.183373481
Red meat and chicken (retail weight): Per capita availability,1978,Red meat-Veal-Pounds,2.429266828
Red meat and chicken (retail weight): Per capita availability,1979,Red meat-Veal-Pounds,1.680956251
Red meat and chicken (retail weight): Per capita availability,1980,Red meat-Veal-Pounds,1.527633577
Red meat and chicken (retail weight): Per capita availability,1981,Red meat-Veal-Pounds,1.62577368
Red meat and chicken (retail weight): Per capita availability,1982,Red meat-Veal-Pounds,1.661827739
Red meat and chicken (retail weight): Per capita availability,1983,Red meat-Veal-Pounds,1.646388368
Red meat and chicken (retail weight): Per capita availability,1984,Red meat-Veal-Pounds,1.782792949
Red meat and chicken (retail weight): Per capita availability,1985,Red meat-Veal-Pounds,1.853384623
Red meat and chicken (retail weight): Per capita availability,1986,Red meat-Veal-Pounds,1.895036633
Red meat and chicken (retail weight): Per capita availability,1987,Red meat-Veal-Pounds,1.534213316
Red meat and chicken (retail weight): Per capita availability,1988,Red meat-Veal-Pounds,1.387901894
Red meat and chicken (retail weight): Per capita availability,1989,Red meat-Veal-Pounds,1.196322541
Red meat and chicken (retail weight): Per capita availability,1990,Red meat-Veal-Pounds,1.079837526
Red meat and chicken (retail weight): Per capita availability,1991,Red meat-Veal-Pounds,0.998041169
Red meat and chicken (retail weight): Per capita availability,1992,Red meat-Veal-Pounds,1.006320155
Red meat and chicken (retail weight): Per capita availability,1993,Red meat-Veal-Pounds,0.911273059
Red meat and chicken (retail weight): Per capita availability,1994,Red meat-Veal-Pounds,0.916170835
Red meat and chicken (retail weight): Per capita availability,1995,Red meat-Veal-Pounds,0.992654554
Red meat and chicken (retail weight): Per capita availability,1996,Red meat-Veal-Pounds,1.16231148
Red meat and chicken (retail weight): Per capita availability,1997,Red meat-Veal-Pounds,1.013519559
Red meat and chicken (retail weight): Per capita availability,1998,Red meat-Veal-Pounds,0.795419046
Red meat and chicken (retail weight): Per capita availability,1999,Red meat-Veal-Pounds,0.69920951
Red meat and chicken (retail weight): Per capita availability,2000,Red meat-Veal-Pounds,0.662506861
Red meat and chicken (retail weight): Per capita availability,2001,Red meat-Veal-Pounds,0.592655958
Red meat and chicken (retail weight): Per capita availability,2002,Red meat-Veal-Pounds,0.58856704
